iter	RMSE
127	321039.6604
128	320716.3855
129	320422.5748
130	320143.0996
131	319831.2193
132	319518.5139
133	319209.4182
134	318875.7421
135	318607.5283
136	318283.1252
137	317962.7462
138	317692.5834
139	317414.4052
140	317103.3313
141	316835.0126
142	316564.3832
143	316261.6973
144	315998.1136
145	315718.1032
146	315437.9299
147	315191.0634
148	314896.5022
149	314652.6464
150	314391.2954
151	314208.1507
152	313980.6462
153	313721.7735
154	313468.3072
155	313197.9785
156	312960.9571
157	312728.8966
158	312485.0416
159	312247.254
160	311975.4252
161	311714.0747
162	311470.3665
163	311279.2216
164	311059.8077
165	310857.5068
166	310640.6608
167	310420.74
168	310184.3061
169	309954.2397
170	309735.4516
171	309492.4131
172	309296.3018
173	309077.8155
174	308823.4602
175	308658.5328
176	308466.6111
177	308242.1318
178	308038.5263
179	307824.5705
180	307619.1111
181	307402.1011
182	307229.0274
183	307005.4714
184	306814.0833
185	306604.0538
186	306414.7461
187	306241.6294
188	306055.9419
189	305863.0304
190	305693.6185
191	305495.9974
192	305310.6342
193	305157.6174
194	304986.4173
195	304807.6108
196	304648.1573
197	304450.5971
198	304323.3267
199	304095.2024
200	303900.9694
201	303709.0312
202	303475.118
203	303314.1917
204	303144.0346
205	302970.1841
206	302772.181
207	302614.9739
208	302448.2556
209	302288.7446
210	302127.6869
211	301954.8181
212	301815.7315
213	301684.9573
214	301519.3268
215	301367.3155
216	301217.3312
217	301038.2356
218	300832.8324
219	300705.4253
220	300546.6519
221	300397.3942
222	300225.1555
223	300097.6926
224	299954.6131
225	299811.8607
226	299661.1975
227	299467.133
228	299285.8242
229	299155.7197
230	299012.9324
231	298894.2422
232	298768.3104
233	298626.6103
234	298525.9809
235	298363.4621
236	298241.6746
237	298025.9433
238	297912.019
239	297733.9078
240	297603.3562
241	297489.1539
242	297345.1484
243	297204.9973
244	297056.7726
245	296908.45
246	296745.0114
247	296610.4422
248	296475.2128
249	296369.627
250	296259.3099
251	296145.3925
252	295998.047
253	295874.263
254	295756.4704
255	295649.2963
256	295446.952
257	295309.3719
258	295211.7742
259	295122.7101
260	294992.5061
261	294870.9606
262	294732.6534
263	294631.9897
264	294528.0843
265	294386.974
266	294250.8653
267	294129.9654
268	294029.1825
269	293872.4847
270	293783.5475
271	293667.8486
272	293564.4922
273	293395.2713
274	293301.5591
275	293165.2293
276	293076.9774
277	292996.3884
278	292867.5977
279	292775.9859
280	292678.5536
281	292573.4393
282	292489.7881
283	292363.0111
284	292249.6081
285	292171.8973
286	292082.8492
287	292004.5894
288	291925.5367
289	291805.6104
290	291703.0704
291	291557.2832
292	291465.356
293	291381.4522
294	291224.4581
295	291136.8179
296	291003.8374
297	290911.4067
298	290820.4714
299	290739.5085
300	290660.165
301	290592.7151
302	290531.5224
303	290463.0213
304	290381.4861
305	290294.2997
306	290197.6854
307	290111.4177
308	290001.4124
309	289914.3535
310	289831.2619
311	289754.1487
312	289679.1834
313	289618.8771
314	289495.4539
315	289424.6719
316	289359.5339
317	289278.6817
318	289169.3186
319	289088.8792
320	289012.107
321	288932.6536
322	288821.9461
323	288739.9096
324	288668.39
325	288589.2872
326	288418.4299
327	288365.3634
328	288283.89
329	288209.9193
330	288131.5093
331	288050.1449
332	287970.7676
333	287888.2895
334	287823.7785
335	287755.8578
336	287676.7189
337	287609.4202
338	287546.5818
339	287477.6382
340	287413.2109
341	287334.179
342	287260.85
343	287169.8285
344	287111.706
345	287011.5588
346	286896.0628
347	286836.4426
348	286752.567
349	286655.3449
350	286531.5092
351	286453.3629
352	286376.9368
353	286265.8782
354	286192.0873
355	286136.4982
356	286031.7775
357	285920.9705
358	285859.504
359	285808.3221
360	285756.3516
361	285695.6725
362	285623.6401
363	285528.1827
364	285450.4127
365	285372.7228
366	285298.158
367	285226.9852
368	285149.8587
369	285055.488
370	284988.0391
371	284828.4498
372	284794.2828
373	284732.6458
374	284677.1016
375	284616.3348
376	284554.1904
377	284493.8613
378	284390.3749
379	284338.0892
380	284294.7821
381	284256.3151
382	284192.3506
383	284129.0951
384	284090.0309
385	284003.2215
386	283908.1444
387	283835.2483
388	283776.0404
389	283734.6953
390	283687.2848
391	283630.6125
392	283512.7552
393	283407.9047
394	283339.6999
395	283225.1657
396	283156.9598
397	283084.4864
398	283031.8108
399	282946.5053
400	282889.8805
401	282848.0522
402	282811.3144
403	282762.4861
404	282696.9137
405	282639.5058
406	282602.9126
407	282544.6372
408	282491.9817
409	282444.5136
410	282333.6971
411	282224.7645
412	282147.526
413	282103.1547
414	282062.0659
415	282004.1051
416	281933.4566
417	281901.8722
418	281815.213
419	281724.9901
420	281668.753
421	281600.9009
422	281556.06
423	281510.9525
424	281424.5837
425	281386.8467
426	281306.5508
427	281252.7904
428	281167.2835
429	281101.0091
430	281049.6913
431	281020.8047
432	280963.8671
433	280920.4571
434	280875.8702
435	280822.5857
436	280756.4061
437	280713.9947
438	280674.4036
439	280618.7047
440	280562.9193
441	280479.0311
442	280414.8247
443	280354.8084
444	280308.7411
445	280242.2161
446	280186.2835
447	280152.7286
448	280110.5764
449	280050.5075
450	280012.2242
451	279968.5259
452	279938.9196
453	279885.1358
454	279838.242
455	279770.4395
456	279736.9875
457	279619.8292
458	279589.4597
459	279544.25
460	279503.434
461	279468.2045
462	279421.7482
463	279379.3086
464	279338.9497
465	279304.5931
466	279270.0577
467	279237.0937
468	279147.5718
469	279110.4961
470	279048.4823
471	278982.698
472	278929.0358
473	278888.5079
474	278784.9583
475	278754.1743
476	278688.2571
477	278630.7687
478	278595.899
479	278569.8828
480	278531.7833
481	278498.3806
482	278413.4116
483	278366.5686
484	278326.4836
485	278275.7356
486	278235.6633
487	278189.7417
488	278155.5536
489	278118.5298
490	278012.7916
491	277962.5145
492	277890.635
493	277851.2972
494	277781.5436
495	277748.6345
496	277715.0931
497	277668.957
498	277625.7223
499	277582.1919
500	277529.8391
501	277492.2122
502	277438.228
503	277401.5632
504	277367.5859
505	277327.2476
506	277299.6526
507	277261.2094
508	277187.0871
509	277135.0109
510	277103.0602
511	277044.9047
512	276993.0714
513	276956.3036
514	276904.8603
515	276869.6561
516	276820.3679
517	276737.7551
518	276679.3977
519	276632.2946
520	276594.6842
521	276565.1271
522	276515.0425
523	276480.0006
524	276440.9632
525	276409.8425
526	276390.5445
527	276352.2106
528	276286.7444
529	276202.058
530	276177.3633
531	276147.1065
532	276090.6567
533	276042.0999
534	276004.5456
535	275951.3194
536	275838.5922
537	275744.3308
538	275694.3767
539	275641.9439
540	275603.2369
541	275534.8364
542	275492.9368
543	275463.3127
544	275419.7196
545	275374.5878
546	275343.2398
547	275296.6469
548	275260.6853
549	275230.9978
550	275198.5961
551	275166.3425
552	275110.9636
553	275072.6865
554	275052.4796
555	275000.4665
556	274966.7818
557	274936.6048
558	274912.7684
559	274887.2686
560	274822.3275
561	274763.5548
562	274741.6894
563	274708.6096
564	274648.8751
565	274606.689
566	274557.3379
567	274521.7371
568	274483.905
569	274459.5508
570	274408.1241
571	274377.2197
572	274316.3298
573	274271.1864
574	274251.4169
575	274213.6238
576	274171.6351
577	274143.677
578	274113.4338
579	274054.7434
580	274017.6096
581	273991.8547
582	273958.8675
583	273886.1385
584	273861.371
585	273814.9116
586	273784.8791
587	273741.067
588	273700.9526
589	273648.3239
590	273623.6794
591	273584.4277
592	273552.102
593	273527.7276
594	273500.5718
595	273482.5955
596	273454.4018
597	273408.898
598	273375.9741
599	273347.4593
